id,front,back,repetition,interval,easiness,last_review,next_review,lapses
1,I am a teacher.,Eu sou professor.,3,29,2.80,2025-05-26,2025-06-24,0
2,She has a new car.,Ela tem um carro novo.,3,29,2.80,2025-05-26,2025-06-24,0
3,They do their homework every day.,Eles fazem a lição de casa todos os dias.,3,29,2.80,2025-05-26,2025-06-24,0
4,We go to the gym on Mondays.,Nós vamos à academia às segundas-feiras.,3,29,2.80,2025-05-26,2025-06-24,0
5,He says he is tired.,Ele diz que está cansado.,3,29,2.80,2025-05-26,2025-06-24,0
6,I get up early every morning.,Eu levanto cedo todas as manhãs.,3,29,2.70,2025-05-26,2025-06-24,0
7,She makes delicious cakes.,Ela faz bolos deliciosos.,3,16,2.80,2025-05-23,2025-06-08,0
8,We know the answer to the question.,Nós sabemos a resposta para a pergunta.,3,10,2.60,2025-05-23,2025-06-02,0
9,He thinks about his future often.,Ele pensa frequentemente sobre o futuro dele.,3,9,2.48,2025-05-26,2025-06-04,0
10,I take the bus to work.,Eu pego o ônibus para o trabalho.,3,9,2.60,2025-05-23,2025-06-01,0
11,We see the mountains from our window.,Nós vemos as montanhas da nossa janela.,3,10,2.70,2025-05-23,2025-06-02,0
12,She comes to the office by bike.,Ela vem para o escritório de bicicleta.,3,6,2.60,2025-05-23,2025-05-29,0
13,They want to learn English.,Eles querem aprender inglês.,3,6,2.60,2025-05-23,2025-05-29,0
14,He uses his computer for work.,Ele usa o computador dele para o trabalho.,3,15,2.80,2025-05-26,2025-06-10,0
15,I find this book very interesting.,Eu acho este livro muito interessante.,3,15,2.70,2025-05-26,2025-06-10,0
16,She gives her friend a gift.,Ela dá um presente para a amiga dela.,3,15,2.80,2025-05-26,2025-06-10,0
17,We tell stories around the campfire.,Nós contamos histórias ao redor da fogueira.,3,6,2.36,2025-05-23,2025-05-29,0
18,He works at a bank.,Ele trabalha em um banco.,3,15,2.80,2025-05-26,2025-06-10,0
19,I feel happy today.,Eu me sinto feliz hoje.,3,15,2.80,2025-05-26,2025-06-10,0
20,They try to solve the problem together.,Eles tentam resolver o problema juntos.,3,15,2.80,2025-05-26,2025-06-10,0
21,I have to get up early tomorrow for work.,Tenho que acordar cedo amanhã para o trabalho.,3,14,2.70,2025-05-26,2025-06-09,0
22,She gets up early every day to go for a run,Ela acorda cedo todos os dias para correr,2,2,2.16,2025-05-28,2025-05-30,0
23,"If you get up early, you can watch the sunrise.","Se você acordar cedo, pode ver o nascer do sol.",3,6,2.36,2025-05-23,2025-05-29,0
24,The students always do their homework on time.,Os alunos sempre fazem seus deveres de casa no horário,3,28,2.46,2025-05-26,2025-06-23,0
25,They do their best to help others,Eles fazem o melhor para ajudar os outros,3,29,2.70,2025-05-26,2025-06-24,0
26,My kids do their chores before dinner,Meus filhos fazem suas tarefas antes do jantar,3,8,2.28,2025-05-28,2025-06-05,0
27,He walks to school every morning.,Ele anda até a escola todas as manhãs.,3,9,2.48,2025-05-28,2025-06-06,0
28,We study English together on weekends.,Nós estudamos inglês juntos nos finais de semana.,3,7,1.92,2025-05-28,2025-06-04,0
29,She writes articles for a magazine.,Ela escreve artigos para uma revista.,3,8,2.22,2025-05-23,2025-05-31,0
30,I cook dinner for my family every night.,Eu cozinho o jantar para minha família todas as noites.,3,9,2.60,2025-05-28,2025-06-06,0
31,They read books in the library.,Eles leem livros na biblioteca.,1,1,2.06,2025-05-28,2025-05-29,0
32,The cat sleeps on the sofa.,O gato dorme no sofá.,2,2,2.28,2025-05-28,2025-05-30,0
33,You drink coffee every morning.,Você toma café todas as manhãs.,3,14,2.70,2025-05-28,2025-06-11,0
34,He listens to music while working.,Ele ouve música enquanto trabalha.,3,9,2.56,2025-05-28,2025-06-06,0
35,We clean the house every Saturday.,Nós limpamos a casa todo sábado.,3,8,2.46,2025-05-28,2025-06-05,0
36,She watches the news at 8 PM.,Ela assiste ao noticiário às 20h.,3,9,2.56,2025-05-28,2025-06-06,0
37,I drive to work on weekdays.,Eu dirijo para o trabalho durante a semana.,1,1,2.16,2025-05-28,2025-05-29,0
38,They play soccer in the park.,Eles jogam futebol no parque.,2,2,2.60,2025-05-28,2025-05-30,0
39,The baby cries when he is hungry.,O bebê chora quando está com fome.,1,1,2.28,2025-05-28,2025-05-29,0
40,You open the window when it’s hot.,Você abre a janela quando está quente.,1,1,2.28,2025-05-28,2025-05-29,0
41,He paints beautiful landscapes.,Ele pinta paisagens lindas.,2,2,2.60,2025-05-28,2025-05-30,0
42,Implement a function that solves a specific problem.,Implemente uma função que resolva um problema específico.,2,2,2.46,2025-05-28,2025-05-30,0
43,Create a script to automate the process.,Crie um script para automatizar o processo.,2,2,2.36,2025-05-28,2025-05-30,0
44,Write code that performs data validation.,Escreva um código que realize a validação de dados.,2,2,2.46,2025-05-28,2025-05-30,0
45,Set up the environment for development.,Configure o ambiente para desenvolvimento.,2,2,2.50,2025-05-28,2025-05-30,0
46,Use a builder to compile the project.,Use um construtor para compilar o projeto.,2,2,2.60,2025-05-28,2025-05-30,0
47,Convert JSON data to CSV format.,Converta dados JSON para o formato CSV.,2,3,2.60,2025-05-28,2025-05-31,0
48,Add a new feature to the application.,Adicione um novo recurso ao aplicativo.,2,3,2.70,2025-05-28,2025-05-31,0
49,Update the software to the latest version.,Atualize o software para a versão mais recente.,2,3,2.46,2025-05-28,2025-05-31,0
50,Enhance the login function to support 2FA.,Melhore a função de login para suportar autenticação de dois fatores.,0,1,2.28,2025-05-28,2025-05-29,0
51,Remove unnecessary files from the directory.,Remova arquivos desnecessários do diretório.,2,2,2.50,2025-05-28,2025-05-30,0
52,Debug the script to find the error.,Depure o script para encontrar o erro.,2,3,2.60,2025-05-28,2025-05-31,0
53,Compile the source code into a binary.,Compile o código-fonte em um binário.,2,3,2.60,2025-05-28,2025-05-31,0
54,Test the application with different inputs.,Teste o aplicativo com diferentes entradas.,2,3,2.60,2025-05-28,2025-05-31,0
55,Integrate the module with the existing API.,Integre o módulo com a API existente.,2,2,2.50,2025-05-28,2025-05-30,0
56,Automate the build and deploy process.,Automatize o processo de build e deploy.,2,3,2.60,2025-05-28,2025-05-31,0
57,Refactor the code to improve readability.,Refatore o código para melhorar a legibilidade.,2,2,2.60,2025-05-28,2025-05-30,0
58,Version the app using semantic versioning.,Versione o aplicativo usando versionamento semântico.,2,3,2.70,2025-05-28,2025-05-31,0
59,Clone the repository from GitHub.,Clone o repositório do GitHub.,2,3,2.60,2025-05-28,2025-05-31,0
60,Initialize the database with seed data.,Inicialize o banco de dados com dados iniciais.,2,2,2.60,2025-05-28,2025-05-30,0
61,Document each function with comments.,Documente cada função com comentários.,2,2,2.46,2025-05-28,2025-05-30,0
62,Reset all settings to default.,Resete todas as configurações para o padrão.,2,2,2.60,2025-05-28,2025-05-30,0
63,Discard all uncommitted changes.,Descarte todas as alterações não confirmadas.,2,2,2.60,2025-05-28,2025-05-30,0
64,Delete temporary files after processing.,Exclua arquivos temporários após o processamento.,2,2,2.50,2025-05-28,2025-05-30,0
65,Modify the script to accept parameters.,Modifique o script para aceitar parâmetros.,2,3,2.70,2025-05-28,2025-05-31,0
66,Sync your local branch with remote.,Sincronize sua branch local com o repositório remoto.,2,2,2.46,2025-05-28,2025-05-30,0
67,Load data from a CSV file.,Carregue dados de um arquivo CSV.,2,3,2.60,2025-05-28,2025-05-31,0
68,Save your progress regularly.,Salve seu progresso regularmente.,2,3,2.60,2025-05-28,2025-05-31,0
69,Fetch data from an external API.,Busque dados de uma API externa.,2,3,2.70,2025-05-28,2025-05-31,0
70,Push your changes to the remote repository.,Envie suas alterações para o repositório remoto.,2,3,2.70,2025-05-28,2025-05-31,0
71,Pull the latest updates from the main branch.,Puxe as atualizações mais recentes do branch principal.,2,2,2.36,2025-05-28,2025-05-30,0
72,Smoking is not allowed here,Não é permitido fumar aqui,2,2,2.36,2025-05-28,2025-05-30,0
73,She added him on Facebook,Ela o adicionou no Facebook,2,2,2.50,2025-05-28,2025-05-30,0
74,He asked my name,Ele perguntou meu nome,2,2,2.50,2025-05-28,2025-05-30,0
75,They appeared on TV.,Eles apareceram na TV.,1,1,1.80,2025-05-28,2025-05-29,0
76,She asked him to close the door,Ela pediu para ele fechar a porta,1,1,1.96,2025-05-28,2025-05-29,0
77,I was really tired,Eu estava muito cansado,2,2,2.46,2025-05-28,2025-05-30,0
78,They were my teachers,Eles eram meus professores,2,2,2.60,2025-05-28,2025-05-30,0
79,We became friends,Nos tornamos amigos,2,3,2.70,2025-05-28,2025-05-31,0
80,The film had begun when we arrived,O filme tinha começado quando chegamos,1,1,2.28,2025-05-28,2025-05-29,0
81,I believe our team will win,Eu acredito que nosso time vá ganhar,1,1,2.28,2025-05-28,2025-05-29,0
82,I brought my sister to the party,Eu trouxe minha irmã para a festa,2,2,2.46,2025-05-28,2025-05-30,0
84,He could ride a bike when he was 3.,Ele conseguia andar de bicicleta aos 3 anos.,2,3,2.60,2025-05-28,2025-05-31,0
85,I could have traveled to New York if I had the money.,eu poderia te viajado para new york se tivese dinhero,1,1,2.18,2025-05-28,2025-05-29,0
86,She came earlier than I thought,Ela veio mais cedo do que eu pensava,1,1,2.18,2025-05-28,2025-05-29,0
87,He died in a car accident,Ele morreu em um acidente de carro,2,3,2.70,2025-05-28,2025-05-31,0
88,They did a very good job,Eles fizeram um trabalho muito bom.,2,3,2.46,2025-05-28,2025-05-31,0
89,I was expecting his phone call.,Eu estava esperando o telefonema dele.,1,1,2.18,2025-05-28,2025-05-29,0
90,An orenge fell from the tree,Caiu uma laranja da arvore,3,8,2.46,2025-05-28,2025-06-05,0
91,I felt really happy with the news.,Eu me senti muito feliz com a notícia.,2,2,2.46,2025-05-28,2025-05-30,0
92,I found the keys under the bed,Encontrei as chaves embaixo da cama,2,2,2.60,2025-05-28,2025-05-30,0
93,Sally folded the sheet,Sally dobrou o lençol,0,1,1.80,2025-05-28,2025-05-29,0
94,Don’t forget to get the keys,Não se esqueça de pegar as chaves,2,3,2.60,2025-05-28,2025-05-31,0
95,She got a new job,Ela conseguiu um novo emprego,2,3,2.70,2025-05-28,2025-05-31,0
96,These plants only grow in the tropics,Estas plantas só crescem nos trópicos,2,2,2.50,2025-05-28,2025-05-30,0
97,What happened?,O que aconteceu?,1,1,2.28,2025-05-28,2025-05-29,0
98,I heard a noise,Eu ouvi um barulho,1,1,2.06,2025-05-28,2025-05-29,0
99,Hold my hand while crossing the street,Segure minha mão quando atravessar a rua.,3,8,2.46,2025-05-28,2025-06-05,0
100,I didn’t know she was pregnant,Eu não sabia que ela estava grávida,0,1,2.18,2025-05-28,2025-05-29,0
101,Michael used to lead the baseball team,Michael costumava liderar o time de baseball,2,3,2.70,2025-05-28,2025-05-31,0
102,I let him go out with his friends,Eu deixei ele sair com os amigos dele,2,2,2.50,2025-05-28,2025-05-30,0
103,What does it mean?,O que isso significa?,0,1,2.28,2025-05-28,2025-05-29,0
104,He made his opponent move,Ele fez o adversário se mover,2,2,2.36,2025-05-28,2025-05-30,0
105,He may arrive late.,Ele pode chegar atrasado.,1,1,2.18,2025-05-28,2025-05-29,0
106,It might rain tomorrow.,Pode chover amanhã.,1,1,1.96,2025-05-28,2025-05-29,0
107,You must arrive 2 hours earlier,Você tem que chegar 2 horas antes,0,1,1.86,2025-05-28,2025-05-29,0
108,He offered me a ride.,Ele me ofereceu carona,0,1,1.80,2025-05-28,2025-05-29,0
109,They always leave the door open.,Eles sempre deixam a porta aberta.,1,1,2.04,2025-05-28,2025-05-29,0
110,The director provided everything that was needed for the project,O diretor forneceu tudo o que era necessário para o projeto.,2,2,2.22,2025-05-28,2025-05-30,0
111,Put your baggage under your seat,Coloque sua bagagem embaixo do seu assento,2,2,2.22,2025-05-28,2025-05-30,0
112,I am not tall enough to reach that shelf.,Não sou alta o suficiente para alcançar aquela prateleira,1,1,2.18,2025-05-28,2025-05-29,0
113,I remained alert during the night.,Permaneci alerta durante a noite,2,2,2.36,2025-05-28,2025-05-30,0
114,They seemed happy,Eles pareciam felizes,2,2,2.50,2025-05-28,2025-05-30,0
115,The conference is set for this year,A conferência está definida para este ano,2,2,2.46,2025-05-28,2025-05-30,0
116,You should study for the exam,Você deveria estudar para a prova,2,2,2.36,2025-05-28,2025-05-30,0
117,She sat next to the window,Ela sentou perto da janela,3,9,2.46,2025-05-28,2025-06-06,0
118,I spent my vacations in Albuquerque,Passei minhas férias em Albuquerque,1,1,2.18,2025-05-28,2025-05-29,0
119,He stood by the door,Ele ficou em pé perto da porta.,1,1,2.18,2025-05-28,2025-05-29,0
120,He stayed up late,Ele ficou acordado até tarde.,0,1,2.28,2025-05-28,2025-05-29,0
121,He took my hand,Ele pegou a minha mão.,2,2,2.36,2025-05-28,2025-05-30,0
122,He has turned the button to the left,Ele virou o botão para a esquerda,0,1,1.96,2025-05-28,2025-05-29,0
123,They understood what I was saying,Eles entenderam o que eu estava dizendo.,2,3,2.60,2025-05-28,2025-05-31,0
124,I used this book to do the research,Eu usei este livro para fazer a pesquisa,0,1,2.18,2025-05-28,2025-05-29,0
125,I will travel to Portugal in March.,Viajarei para Portugal em março,2,2,2.36,2025-05-28,2025-05-30,0
126,I would travel more if I had the money.,Eu viajaria mais se tivesse dinheiro,2,2,2.50,2025-05-28,2025-05-30,0
